elapsed_s,x_unit,y_unit,radius_unit,radial_error_unit
8.703,225.078125,168.21875,151.59018835359407,1.5901883535940726
8.734,223.515625,168.984375,151.70680147337248,1.7068014733724794
8.797,221.953125,169.765625,151.8298624411754,1.8298624411754076
8.797,220.40625,170.640625,151.88486738135938,1.8848673813593848
8.797,218.84375,171.453125,152.02182733518276,2.0218273351827634
8.812,217.28125,172.21875,152.21839393819985,2.2183939381998528
8.828,215.765625,172.953125,152.43470201665448,2.4347020166544837
8.906,214.171875,173.734375,152.6744087843678,2.674408784367813
8.906,212.734375,174.5,152.85790560726855,2.857905607268549
8.906,211.234375,175.390625,152.9929165665236,2.992916566523604
8.922,209.21875,176.8125,153.02416641763648,3.0241664176364793
9.0,207.953125,177.90625,152.90360030531696,2.9036003053169566
9.0,206.71875,179.09375,152.70793329301853,2.7079332930185274
9.0,205.640625,180.21875,152.48357125262092,2.4835712526209193
9.016,204.390625,181.421875,152.3217788643707,2.321778864370714
9.031,202.625,183.328125,151.96781580655696,1.9678158065569562
9.109,201.390625,184.484375,151.88044132485015,1.8804413248501533
9.109,200.265625,185.640625,151.7399492784654,1.7399492784653887
9.109,199.125,186.84375,151.59189470107728,1.5918947010772797
9.125,197.359375,188.703125,151.40043687240882,1.400436872408818
9.203,196.296875,189.9375,151.22199589019988,1.221995890199878
9.203,195.09375,191.234375,151.11347547688501,1.1134754768850144
9.203,194.0,192.546875,150.93764961819707,0.9376496181970708
9.203,192.9375,193.859375,150.75878475777333,0.7587847577733271
9.234,191.765625,195.140625,150.6989331648743,0.6989331648742905
9.297,190.09375,197.171875,150.5091594557558,0.5091594557557926
9.297,189.0,198.65625,150.30487571620057,0.30487571620056997
9.297,187.953125,200.0625,150.13995505366194,0.13995505366193584
9.312,186.84375,201.625,149.93991309542133,-0.060086904578668054
9.344,185.84375,203.09375,149.74134600411804,-0.25865399588195714
9.422,184.671875,204.8125,149.53673987440553,-0.4632601255944735
9.422,183.625,206.328125,149.390631536973,-0.6093684630270104
9.422,182.625,207.734375,149.29781037121953,-0.7021896287804736
9.422,181.625,209.25,149.15831564146868,-0.8416843585313245
9.516,180.6875,210.8125,148.96268933024805,-1.037310669751946
9.516,179.703125,212.25,148.90064014222915,-1.0993598577708497
9.516,178.703125,213.703125,148.86262969439727,-1.1373703056027296
9.516,177.703125,214.953125,148.96139292458045,-1.0386070754195487
9.531,176.6875,216.3125,149.02875666293403,-0.971243337065971
9.547,175.65625,217.796875,149.05945767990747,-0.9405423200925327
9.625,174.640625,219.25,149.11584557112172,-0.8841544288782757
9.625,173.171875,221.453125,149.18104726566727,-0.8189527343327256
9.625,172.265625,222.96875,149.16395017967017,-0.8360498203298334
9.641,171.28125,224.375,149.2905128484811,-0.7094871515189141
9.719,170.359375,225.875,149.3358874329631,-0.6641125670369092
